headline_length_words,headline_length_chars,avg_word_length,num_uppercase_words,num_digits,num_exclamation_marks,num_question_marks,num_commas,num_colons,num_semicolons,contains_quote,contains_colon,contains_question,contains_number,starts_with_how,starts_with_why,starts_with_what,label,source,headline_clean
6,35,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Record floods hit desert city Dubai
8,62,6.875,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NBC,Blinken says he's 'profoundly disappointed' over contempt vote
14,75,4.428571428571429,0,6,0,0,3,0,0,0,0,0,1,0,0,0,1,FoxNews,"On this day in history, August 22, 1776, the British invade Brooklyn by sea"
16,105,5.625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,FoxNews,"Skipping the Super Bowl sit down twice, Biden continues months long streak of avoiding serious interviews"
14,94,5.785714285714286,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,FoxNews,"Americans need more sleep, less stress, experts say, as Gallup poll reveals troubling findings"
16,94,4.9375,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,FoxNews,Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York
14,87,5.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,Wisconsin father son duo thank America’s military heroes from the ‘bottom of our heart’
15,84,4.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Maya Rudolph nabs sixth Emmy and Angela Basset wins her first at Creative Arts Emmys
11,74,5.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,Killer mom Susan Smith disciplined behind bars weeks before parole hearing
15,74,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Every pet owner should own one of these vacuums to keep your home fur free
16,100,5.3125,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,FoxNews,Top 5 friendliest moments from Kamala Harris' media blitz: 'The next president of the United States'
13,69,4.384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,Hilary Duff lands ‘How I Met Your Father’ series sequel role for Hulu
12,81,5.833333333333333,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,FoxNews,"Channel outdraws MSNBC, CNN during August to finish with cable’s largest audience"
15,82,4.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,We tested more than a dozen meal delivery services these are the ones we recommend
10,68,5.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NBC,Harris talks up McDonald's gig in criticizing Trump's economic plans
13,88,5.846153846153846,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,NBC,"Iran vows retaliation on Israel after commanders' deaths, raising fears of war spiraling"
12,83,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NBC,"Victims in Atlanta area spa shootings include recently married mother, Army veteran"
12,57,3.8333333333333335,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,NBC,Our editors' go to eye masks are 57% off during Prime Day
12,77,5.5,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,FoxNews,"Democrats concerned Harris couldn't beat a GOP nominee, even if Trump: report"
12,73,5.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,A death row inmate wrestled with guilt and addiction before his execution
13,75,4.846153846153846,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,NBC,Is vitamin E the missing ingredient your skin needs? Here's what derms say.
13,84,5.538461538461538,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Three Alabama clinics pause IVF services after court rules that embryos are children
12,71,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,NBC,5 things to know about the special counsel's indictment of Donald Trump
14,79,4.714285714285714,1,4,0,0,1,0,0,0,0,0,1,0,0,0,1,FoxNews,"On this day in history in 1775, US postal system established under Ben Franklin"
15,92,5.2,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,FoxNews,Popular PA Democratic mayor warns Trump is ‘out messaging’ Harris: 'I get more from Colbert'
15,95,5.4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,FoxNews,"CNN's Christiane Amanpour calls out boss Chris Licht, offers stunning rebuke of Trump town hall"
13,76,4.923076923076923,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Trump shares AI generated images of Taylor Swift and her fans supporting him
17,100,4.9411764705882355,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,FoxNews,New Jersey couple just sitting in their backyard when massive object falls from sky 'out of nowhere'
14,91,5.571428571428571,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,FoxNews,WATCH: Florida police officers lift car off man trapped underneath 'somebody pull him out!'
13,78,5.076923076923077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Near total internet and cellular blackout hits Gaza as Israel ramps up strikes
10,66,5.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,FoxNews,"Harris proposes major corporate tax hike, reversing Trump era cuts"
14,80,4.785714285714286,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NBC,GOP turns the spotlight on Sen. Bob Casey's family ties in key Pennsylvania race
17,96,4.705882352941177,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NBC,Delphi murders trial: What we know about Richard Allen and the teens he was convicted of killing
14,78,4.642857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,North Korea’s Kim Jong Un arrives in Russia for possible arms talks with Putin
7,50,6.285714285714286,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,NBC,Minnesota House Primary Election 2024 Live Results
14,106,6.642857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,USC student recounts disappointment after graduation commencement was canceled due to anti Israel protests
9,55,5.222222222222222,0,2,0,0,2,0,0,1,0,0,1,0,0,0,1,FoxNews,"Cindy Williams, 'Laverne & Shirley' actress, dead at 75"
12,78,5.583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,Gwyneth Paltrow reveals ex Brad Pitt recently sent her ‘really beautiful’ gift
16,108,5.8125,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,FoxNews,"Idaho's move to resurrect firing squad 'makes sense' as 'quickest, surest' death penalty option, expert says"
11,62,4.7272727272727275,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,FoxNews,Biden gives 3 word response when asked when he'll debate Trump
14,80,4.785714285714286,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NBC,"The best digital photo frames and smart art displays, according to a tech expert"
13,75,4.846153846153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Abortion rights have won in every election since Roe v. Wade was overturned
11,85,6.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Goldman Environmental Prize awarded to Latina organizer fighting air pollution crisis
15,103,5.933333333333334,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,FoxNews,Denise Richards confesses she went through 'hell and back' for Charlie Sheen during addiction struggles
16,95,5.0,1,6,0,0,1,0,0,0,0,0,1,0,0,0,0,NBC,"NFL stadiums could experience $11 billion in climate related losses by 2050, a new report finds"
11,63,4.818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Kim and Putin meet at Russian spaceport for possible arms talks
11,81,6.454545454545454,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NBC,Campus protests: Pro Palestinian demonstrations spread as some schools crack down
14,100,6.214285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Bangladesh security forces fire bullets and sound grenades as protests over government jobs escalate
14,106,6.642857142857143,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NBC,"On Instagram, Palestinian journalists and digital creators documenting Gaza strikes see surge in followers"
15,89,5.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,FoxNews,Trump mocks Biden's beach naps: 'somebody convinced him he looks great in a bathing suit'
15,83,4.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NBC,Supreme Court appears likely to uphold Biden plan to crack down on 'ghost gun' kits
13,68,4.3076923076923075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Apple opens first India store as fans take selfies with CEO Tim Cook
12,71,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Trump no longer centerpiece as Netanyahu again bids for power in Israel
11,66,5.090909090909091,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,NBC,24 hostages are released as Israel Hamas deal pauses Gaza fighting
15,93,5.266666666666667,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,NBC,Hostages in Israel update: Families of loved ones taken by Hamas share their horrific stories
13,83,5.461538461538462,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,FoxNews,"Amid tornado, wedding couple forced to have first dance in basement: 'Chaos ensued'"
16,107,5.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,FoxNews,Rachel Morin's family slams Biden Harris for silence over her murder allegedly committed by illegal migrant
7,32,3.7142857142857144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,The best way to clean your grill
14,93,5.714285714285714,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,FoxNews,"Like Celine Dion, Pennsylvania man is fighting Stiff Person Syndrome 'with everything I have’"
13,74,4.769230769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NBC,"The Gulf of Mexico is blazing hot, but hurricane season is ominously quiet"
12,84,6.083333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,FoxNews,Sheldon Whitehouse doesn't denounce super exclusive beach club his family belongs to
15,96,5.466666666666667,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,FoxNews,Lake rips Biden Harris 'double whammy' policies affecting Arizonans : 'Driven us over the cliff'
15,89,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Biden admin carefully ups criticism of Israel but stops short of cutting off military aid
9,54,5.111111111111111,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,NBC,How Brazil's suspension of X is hurting 'stan Twitter'
16,106,5.6875,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,FoxNews,"Trump assassination attempt suspect's former neighbor says family was 'weird,' kept a 'horse in the house'"
16,87,4.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NBC,How a fringe online claim about immigrants eating pets made its way to the debate stage
12,61,4.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,We tried dozens of bed and bath essentials these are the best
8,59,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Five dermatologists share their everyday skin care routines
14,93,5.714285714285714,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,FoxNews,"Meet the American who unlocked the science of gender, Nettie Stevens, female research pioneer"
7,47,5.857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,Microplastics found in fresh snow on Antarctica
16,102,5.4375,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,FoxNews,"Nearly two thirds of Americans believe illegal immigration is real crisis, not a media narrative: poll"
12,60,4.083333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NBC,These gifts for music lovers will hit a high note every time
9,51,4.777777777777778,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,FoxNews,"New poll shows Harris, Trump splitting 2 key states"
17,101,5.0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,FoxNews,Ron DeSantis says Harris has 'no role' in hurricane response: 'I don't have time for political games'
15,86,4.8,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,NBC,"2022 likely to be deadliest year for Palestinians in the occupied West Bank, U.N. says"
17,89,4.294117647058823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FoxNews,Elizabeth Warren warns Dems to stand firm on tax hikes as fight looms over Trump era cuts
12,98,7.25,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,FoxNews,"Lebanon explosions: Hezbollah apparently targeted as pagers detonate, several dead, thousands hurt"
