headline_clean,label,source
Record floods hit desert city Dubai,0,NBC
Blinken says he's 'profoundly disappointed' over contempt vote,0,NBC
"On this day in history, August 22, 1776, the British invade Brooklyn by sea",1,FoxNews
"Skipping the Super Bowl sit down twice, Biden continues months long streak of avoiding serious interviews",1,FoxNews
"Americans need more sleep, less stress, experts say, as Gallup poll reveals troubling findings",1,FoxNews
Meet the American who inspired the nation in two world wars: Christian soldier Sgt. Alvin York,1,FoxNews
Wisconsin father son duo thank America’s military heroes from the ‘bottom of our heart’,1,FoxNews
Maya Rudolph nabs sixth Emmy and Angela Basset wins her first at Creative Arts Emmys,0,NBC
Killer mom Susan Smith disciplined behind bars weeks before parole hearing,1,FoxNews
Every pet owner should own one of these vacuums to keep your home fur free,0,NBC
Top 5 friendliest moments from Kamala Harris' media blitz: 'The next president of the United States',1,FoxNews
Hilary Duff lands ‘How I Met Your Father’ series sequel role for Hulu,1,FoxNews
"Channel outdraws MSNBC, CNN during August to finish with cable’s largest audience",1,FoxNews
We tested more than a dozen meal delivery services these are the ones we recommend,0,NBC
Harris talks up McDonald's gig in criticizing Trump's economic plans,0,NBC
"Iran vows retaliation on Israel after commanders' deaths, raising fears of war spiraling",0,NBC
"Victims in Atlanta area spa shootings include recently married mother, Army veteran",0,NBC
Our editors' go to eye masks are 57% off during Prime Day,0,NBC
"Democrats concerned Harris couldn't beat a GOP nominee, even if Trump: report",1,FoxNews
A death row inmate wrestled with guilt and addiction before his execution,0,NBC
Is vitamin E the missing ingredient your skin needs? Here's what derms say.,0,NBC
Three Alabama clinics pause IVF services after court rules that embryos are children,0,NBC
5 things to know about the special counsel's indictment of Donald Trump,0,NBC
"On this day in history in 1775, US postal system established under Ben Franklin",1,FoxNews
Popular PA Democratic mayor warns Trump is ‘out messaging’ Harris: 'I get more from Colbert',1,FoxNews
"CNN's Christiane Amanpour calls out boss Chris Licht, offers stunning rebuke of Trump town hall",1,FoxNews
Trump shares AI generated images of Taylor Swift and her fans supporting him,0,NBC
New Jersey couple just sitting in their backyard when massive object falls from sky 'out of nowhere',1,FoxNews
WATCH: Florida police officers lift car off man trapped underneath 'somebody pull him out!',1,FoxNews
Near total internet and cellular blackout hits Gaza as Israel ramps up strikes,0,NBC
"Harris proposes major corporate tax hike, reversing Trump era cuts",1,FoxNews
GOP turns the spotlight on Sen. Bob Casey's family ties in key Pennsylvania race,0,NBC
Delphi murders trial: What we know about Richard Allen and the teens he was convicted of killing,0,NBC
North Korea’s Kim Jong Un arrives in Russia for possible arms talks with Putin,0,NBC
Minnesota House Primary Election 2024 Live Results,0,NBC
USC student recounts disappointment after graduation commencement was canceled due to anti Israel protests,1,FoxNews
"Cindy Williams, 'Laverne & Shirley' actress, dead at 75",1,FoxNews
Gwyneth Paltrow reveals ex Brad Pitt recently sent her ‘really beautiful’ gift,1,FoxNews
"Idaho's move to resurrect firing squad 'makes sense' as 'quickest, surest' death penalty option, expert says",1,FoxNews
Biden gives 3 word response when asked when he'll debate Trump,1,FoxNews
"The best digital photo frames and smart art displays, according to a tech expert",0,NBC
Abortion rights have won in every election since Roe v. Wade was overturned,0,NBC
Goldman Environmental Prize awarded to Latina organizer fighting air pollution crisis,0,NBC
Denise Richards confesses she went through 'hell and back' for Charlie Sheen during addiction struggles,1,FoxNews
"NFL stadiums could experience $11 billion in climate related losses by 2050, a new report finds",0,NBC
Kim and Putin meet at Russian spaceport for possible arms talks,0,NBC
Campus protests: Pro Palestinian demonstrations spread as some schools crack down,0,NBC
Bangladesh security forces fire bullets and sound grenades as protests over government jobs escalate,0,NBC
"On Instagram, Palestinian journalists and digital creators documenting Gaza strikes see surge in followers",0,NBC
Trump mocks Biden's beach naps: 'somebody convinced him he looks great in a bathing suit',1,FoxNews
Supreme Court appears likely to uphold Biden plan to crack down on 'ghost gun' kits,0,NBC
Apple opens first India store as fans take selfies with CEO Tim Cook,0,NBC
Trump no longer centerpiece as Netanyahu again bids for power in Israel,0,NBC
24 hostages are released as Israel Hamas deal pauses Gaza fighting,0,NBC
Hostages in Israel update: Families of loved ones taken by Hamas share their horrific stories,0,NBC
"Amid tornado, wedding couple forced to have first dance in basement: 'Chaos ensued'",1,FoxNews
Rachel Morin's family slams Biden Harris for silence over her murder allegedly committed by illegal migrant,1,FoxNews
The best way to clean your grill,0,NBC
"Like Celine Dion, Pennsylvania man is fighting Stiff Person Syndrome 'with everything I have’",1,FoxNews
"The Gulf of Mexico is blazing hot, but hurricane season is ominously quiet",0,NBC
Sheldon Whitehouse doesn't denounce super exclusive beach club his family belongs to,1,FoxNews
Lake rips Biden Harris 'double whammy' policies affecting Arizonans : 'Driven us over the cliff',1,FoxNews
Biden admin carefully ups criticism of Israel but stops short of cutting off military aid,0,NBC
How Brazil's suspension of X is hurting 'stan Twitter',0,NBC
"Trump assassination attempt suspect's former neighbor says family was 'weird,' kept a 'horse in the house'",1,FoxNews
How a fringe online claim about immigrants eating pets made its way to the debate stage,0,NBC
We tried dozens of bed and bath essentials these are the best,0,NBC
Five dermatologists share their everyday skin care routines,0,NBC
"Meet the American who unlocked the science of gender, Nettie Stevens, female research pioneer",1,FoxNews
Microplastics found in fresh snow on Antarctica,0,NBC
"Nearly two thirds of Americans believe illegal immigration is real crisis, not a media narrative: poll",1,FoxNews
These gifts for music lovers will hit a high note every time,0,NBC
"New poll shows Harris, Trump splitting 2 key states",1,FoxNews
Ron DeSantis says Harris has 'no role' in hurricane response: 'I don't have time for political games',1,FoxNews
"2022 likely to be deadliest year for Palestinians in the occupied West Bank, U.N. says",0,NBC
Elizabeth Warren warns Dems to stand firm on tax hikes as fight looms over Trump era cuts,1,FoxNews
"Lebanon explosions: Hezbollah apparently targeted as pagers detonate, several dead, thousands hurt",1,FoxNews
These expert recommend beard trimmers are versatile and long lasting,0,NBC
"Delphi murders: Man charged with killing 2 girls is 'his own worst enemy,' expert says",1,FoxNews
Bill Maher roasts woke 'presentism': 'A magic moral time machine' where you always win,1,FoxNews
North Korea's Kim Jong Un wants to speed up becoming a nuclear superpower,0,NBC
India or Bharat? Invites fuel speculation that the country could change its name,0,NBC
"Florida woman has traveled to 55 countries, says cruise ship vacations are the way to go",1,FoxNews
"CEOs of TikTok, Meta, Snap and X to testify at Senate online child safety hearing. Here's what to know.",0,NBC
Travel the NFL: Best and worst tailgating cities for your wallet,1,FoxNews
Obama tells men Trump doesn't represent 'real strength',0,NBC
"Armed man arrested on suspicion of threatening FEMA workers, authorities say",0,NBC
"Guy Reffitt, first Jan. 6 rioter to go to trial, found guilty on all counts",0,NBC
Trends are good in the swing county GOP chair calls ‘Little Pennsylvania’: It’ll ‘be a repeat of ‘16’,1,FoxNews
Halloween costume contact lenses may be scarier than you think,1,FoxNews
"92 people still missing in North Carolina after Hurricane Helene, governor says",0,NBC
Moms for Liberty takes center stage again in 2024 Republican presidential race,1,FoxNews
Biden admin takes aim at hunters in latest regulation: 'Preventing Americans from hunting',1,FoxNews
Putin concludes China trip by emphasizing ties with Russia,0,NBC
"Rachel Morin murder: Illegal immigrant from El Salvador charged in rape, killing of Maryland mom of 5",1,FoxNews
Clarence Thomas signaled how he might rule on a challenge to Trump special counsel. Would other justices follow?,0,NBC
Republicans host 'pep rally' with Trump in his first visit to Capitol Hill since Jan. 6 attack,0,NBC
Kamala Harris asserts her presidency 'will not be a continuation' of Biden's,1,FoxNews
Maher rips rapper's profanity laced tirade against USA: ‘Sure it was a big hit with the Queers for Gaza crowd',1,FoxNews
"Tim Walz said he went to China 'dozens' of times, now his campaign says its 'closer to 15'",1,FoxNews
'The View' returns with glowing endorsement of Kamala Harris' 'flawless' campaign,1,FoxNews
"Rumer Willis is pregnant, expecting baby with boyfriend Derek Richard Thomas",1,FoxNews
Hamas billionaires: Lifestyles of the rich and terrorists,1,FoxNews
DNC attendees reject popular GOP accusation of convention hypocrisy: 'Apples and oranges',1,FoxNews
Phoenix ends record 31 day streak of above 110 degree weather,0,NBC
"Puerto Ricans displaced by earthquakes wait for a safe home amid roadblocks, delays",0,NBC
Biden speaks with Netanyahu as White House prepares for Herzog meeting,0,NBC
"On this day in history, September 18, 1870, Old Faithful geyser in Wyoming is documented and named",1,FoxNews
Key Pennsylvania region sees ‘waitlist’ for Trump signs; lawmaker says voters ready to reverse Dem policies,1,FoxNews
New York anti Israel rally at UN features sign supporting terror group Hezbollah,1,FoxNews
"Anti Israel agitators shut down traffic, disrupt cities all across US in demand for Gaza cease fire",1,FoxNews
Four Texas residents forever connected by two kidney donations in different cities: 'Superbly timed',1,FoxNews
Obama speech to secure border without 'tearing' kids from parents omits somber DHS report on missing migrants,1,FoxNews
Ask a doctor: 'Can warming my feet really help me sleep better?',1,FoxNews
Defiant Brittany Mahomes doesn't 'give a f about what people have to say' about her,1,FoxNews
"Poll: Trump leads Biden in Georgia, receiving just over 50% support",1,FoxNews
"As the world sizzles, U.S. and China try to restart vital climate talks",0,NBC
Sen. Bernie Sanders opposes giving Israel $10 billion in aid,0,NBC
Georgia election board votes to require ballots be hand counted in November,0,NBC
Sydney Sweeney tackles Glen Powell affair rumors on 'Saturday Night Live',1,FoxNews
"From a 'wake' to 'Mardi Gras': With Harris, the Democratic convention is a hot ticket",0,NBC
Baltimore bridge collapse: Congressional leaders considering federal assistance,1,FoxNews
"Holding photos of their deceased children, parents lobby Congress to pass online safety legislation",0,NBC
Israel's Knesset votes overwhelmingly against Palestinian statehood as Netanyahu prepares for U.S. visit,0,NBC
'Psych' star Dulé Hill on Hollywood diversity and the legacy of 'The West Wing',0,NBC
"Want smoother, glowier skin? Dermatologists swear by these AHA products",0,NBC
Biden signs TikTok ban for government devices amid security concerns,0,NBC
Apalachee High School shooting victims identified as details emerge about student suspect,1,FoxNews
Northwestern University president 'grew a spine' after hit with House committee investigation: watchdog group,1,FoxNews
